[1586156400] LOG ROTATION: DAILY
[1586156400] LOG VERSION: 2.0
[1586159796] SERVICE NOTIFICATION: srinivas.bethi;WINV-107;Data Drive Space;CRITICAL;notify-service-by-email;d:\ - total: 931.51 Gb - used: 845.18 Gb (91%) - free 86.33 Gb (9%)
[1586159796] SERVICE NOTIFICATION: jatin;WINV-107;Data Drive Space;CRITICAL;notify-service-by-email;d:\ - total: 931.51 Gb - used: 845.18 Gb (91%) - free 86.33 Gb (9%)
[1586159796] SERVICE NOTIFICATION: atul;WINV-107;Data Drive Space;CRITICAL;notify-service-by-email;d:\ - total: 931.51 Gb - used: 845.18 Gb (91%) - free 86.33 Gb (9%)
[1586161267] Auto-save of retention data completed successfully.
[1586161356] SERVICE ALERT: WINV-112;Data Drive Space;WARNING;SOFT;1;d:\ - total: 931.51 Gb - used: 748.34 Gb (80%) - free 183.17 Gb (20%)
[1586161476] SERVICE ALERT: WINV-112;Data Drive Space;WARNING;SOFT;2;d:\ - total: 931.51 Gb - used: 748.78 Gb (80%) - free 182.73 Gb (20%)
[1586161596] SERVICE NOTIFICATION: srinivas.bethi;WINV-112;Data Drive Space;WARNING;notify-service-by-email;d:\ - total: 931.51 Gb - used: 749.25 Gb (80%) - free 182.26 Gb (20%)
[1586161596] SERVICE NOTIFICATION: jatin;WINV-112;Data Drive Space;WARNING;notify-service-by-email;d:\ - total: 931.51 Gb - used: 749.25 Gb (80%) - free 182.26 Gb (20%)
[1586161596] SERVICE NOTIFICATION: atul;WINV-112;Data Drive Space;WARNING;notify-service-by-email;d:\ - total: 931.51 Gb - used: 749.25 Gb (80%) - free 182.26 Gb (20%)
[1586161596] SERVICE ALERT: WINV-112;Data Drive Space;WARNING;HARD;3;d:\ - total: 931.51 Gb - used: 749.25 Gb (80%) - free 182.26 Gb (20%)
[1586162765] SERVICE NOTIFICATION: srinivas.bethi;vonly-replica;/media/data Partition;WARNING;notify-service-by-email;/media/data is at 83% capacity! 5.7T of 7.3T
[1586162765] SERVICE NOTIFICATION: jatin;vonly-replica;/media/data Partition;WARNING;notify-service-by-email;/media/data is at 83% capacity! 5.7T of 7.3T
[1586162765] SERVICE NOTIFICATION: atul;vonly-replica;/media/data Partition;WARNING;notify-service-by-email;/media/data is at 83% capacity! 5.7T of 7.3T
[1586164867] Auto-save of retention data completed successfully.
[1586166365] SERVICE NOTIFICATION: srinivas.bethi;vonly-replica;/media/data Partition;WARNING;notify-service-by-email;/media/data is at 84% capacity! 5.8T of 7.3T
[1586166365] SERVICE NOTIFICATION: jatin;vonly-replica;/media/data Partition;WARNING;notify-service-by-email;/media/data is at 84% capacity! 5.8T of 7.3T
[1586166365] SERVICE NOTIFICATION: atul;vonly-replica;/media/data Partition;WARNING;notify-service-by-email;/media/data is at 84% capacity! 5.8T of 7.3T
[1586166994] SERVICE ALERT: WINV-107;CPU Load;CRITICAL;SOFT;1;CPU Load 99% (5 min average)
[1586167114] SERVICE ALERT: WINV-107;CPU Load;OK;SOFT;2;CPU Load 11% (5 min average)
[1586168467] Auto-save of retention data completed successfully.
[1586169965] SERVICE NOTIFICATION: srinivas.bethi;vonly-replica;/media/data Partition;WARNING;notify-service-by-email;/media/data is at 84% capacity! 5.8T of 7.3T
[1586169965] SERVICE NOTIFICATION: jatin;vonly-replica;/media/data Partition;WARNING;notify-service-by-email;/media/data is at 84% capacity! 5.8T of 7.3T
[1586169965] SERVICE NOTIFICATION: atul;vonly-replica;/media/data Partition;WARNING;notify-service-by-email;/media/data is at 84% capacity! 5.8T of 7.3T
[1586172067] Auto-save of retention data completed successfully.
[1586172611] SERVICE NOTIFICATION: jatin;vonly-replica;Current Load;CRITICAL;notify-service-by-email;CRITICAL - load average: 27.32, 27.19, 26.94
[1586172611] SERVICE NOTIFICATION: atul;vonly-replica;Current Load;CRITICAL;notify-service-by-email;CRITICAL - load average: 27.32, 27.19, 26.94
[1586172611] SERVICE NOTIFICATION: srinivas.bethi;vonly-replica;Current Load;CRITICAL;notify-service-by-email;CRITICAL - load average: 27.32, 27.19, 26.94
[1586173253] SERVICE NOTIFICATION: jatin;vapps-100;Current Load;CRITICAL;notify-service-by-email;CRITICAL - load average: 57.43, 48.73, 43.90
[1586173253] SERVICE NOTIFICATION: atul;vapps-100;Current Load;CRITICAL;notify-service-by-email;CRITICAL - load average: 57.43, 48.73, 43.90
[1586173253] SERVICE NOTIFICATION: srinivas.bethi;vapps-100;Current Load;CRITICAL;notify-service-by-email;CRITICAL - load average: 57.43, 48.73, 43.90
[1586173255] SERVICE NOTIFICATION: jatin;vinfra-200;Current Load;WARNING;notify-service-by-email;WARNING - load average: 4.56, 5.73, 5.79
[1586173255] SERVICE NOTIFICATION: atul;vinfra-200;Current Load;WARNING;notify-service-by-email;WARNING - load average: 4.56, 5.73, 5.79
[1586173255] SERVICE NOTIFICATION: srinivas.bethi;vinfra-200;Current Load;WARNING;notify-service-by-email;WARNING - load average: 4.56, 5.73, 5.79
[1586173565] SERVICE NOTIFICATION: srinivas.bethi;vonly-replica;/media/data Partition;WARNING;notify-service-by-email;/media/data is at 84% capacity! 5.8T of 7.3T
[1586173565] SERVICE NOTIFICATION: jatin;vonly-replica;/media/data Partition;WARNING;notify-service-by-email;/media/data is at 84% capacity! 5.8T of 7.3T
[1586173565] SERVICE NOTIFICATION: atul;vonly-replica;/media/data Partition;WARNING;notify-service-by-email;/media/data is at 84% capacity! 5.8T of 7.3T
[1586174196] SERVICE NOTIFICATION: srinivas.bethi;WINV-107;Data Drive Space;CRITICAL;notify-service-by-email;d:\ - total: 931.51 Gb - used: 847.73 Gb (91%) - free 83.78 Gb (9%)
[1586174196] SERVICE NOTIFICATION: jatin;WINV-107;Data Drive Space;CRITICAL;notify-service-by-email;d:\ - total: 931.51 Gb - used: 847.73 Gb (91%) - free 83.78 Gb (9%)
